date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-09-30T00:00:00.000,Maricopa,AZ,Passenger,5,7,12,1312,1324,0.9063444108761329305135951662
2020-09-30T00:00:00.000,Mason,WA,Passenger,162,131,293,47471,47764,0.6134327108282388409680931245
2020-07-31T00:00:00.000,Skagit,WA,Passenger,423,223,646,91318,91964,0.7024487843069027010569353225
2020-07-31T00:00:00.000,Skamania,WA,Truck,0,0,0,4032,4032,0
2020-07-31T00:00:00.000,St. Mary's,MD,Passenger,1,0,1,214,215,0.4651162790697674418604651163
2020-07-31T00:00:00.000,Valencia,NM,Passenger,1,0,1,6,7,14.28571428571428571428571429
2020-07-31T00:00:00.000,Washington,OR,Passenger,1,0,1,419,420,0.2380952380952380952380952381
2020-07-31T00:00:00.000,Yakima,WA,Passenger,139,119,258,165795,166053,0.1553720799985546783255948402
2020-08-31T00:00:00.000,,,Passenger,5,1,6,347,353,1.699716713881019830028328612
2020-07-31T00:00:00.000,DeKalb,GA,Passenger,1,0,1,74,75,1.333333333333333333333333333
2020-07-31T00:00:00.000,Ferry,WA,Passenger,7,3,10,4330,4340,0.2304147465437788018433179724
2020-07-31T00:00:00.000,Garfield,WA,Truck,0,0,0,988,988,0
2020-07-31T00:00:00.000,Guadalupe,TX,Passenger,1,0,1,59,60,1.666666666666666666666666667
2020-07-31T00:00:00.000,Hennepin,MN,Passenger,3,0,3,87,90,3.333333333333333333333333333
2020-07-31T00:00:00.000,Houston,GA,Passenger,1,0,1,53,54,1.851851851851851851851851852
2020-08-31T00:00:00.000,Whatcom,WA,Passenger,1112,513,1625,149230,150855,1.077193331344668721620098770
2020-09-30T00:00:00.000,Alexandria,VA,Passenger,2,0,2,135,137,1.459854014598540145985401460
2020-09-30T00:00:00.000,Chelan,WA,Truck,0,0,0,22728,22728,0
2020-09-30T00:00:00.000,Richland,SC,Passenger,0,1,1,150,151,0.6622516556291390728476821192
2020-09-30T00:00:00.000,Saginaw,MI,Passenger,1,0,1,9,10,10.0
2020-09-30T00:00:00.000,Salt Lake,UT,Passenger,0,2,2,171,173,1.156069364161849710982658960
2020-09-30T00:00:00.000,San Juan,WA,Truck,0,0,0,5846,5846,0
2020-09-30T00:00:00.000,Snohomish,WA,Passenger,4695,1810,6505,537268,543773,1.196271238182109078604491212
2020-09-30T00:00:00.000,Tulsa,OK,Passenger,1,1,2,39,41,4.878048780487804878048780488
2020-09-30T00:00:00.000,Wahkiakum,WA,Passenger,6,6,12,3016,3028,0.3963011889035667107001321004
2020-09-30T00:00:00.000,Stafford,VA,Passenger,1,1,2,90,92,2.173913043478260869565217391
2020-09-30T00:00:00.000,Stevens,WA,Passenger,35,38,73,30419,30492,0.2394070575888757706939525121
2020-09-30T00:00:00.000,Sumter,FL,Passenger,0,1,1,11,12,8.333333333333333333333333333
2020-09-30T00:00:00.000,Thurston,WA,Truck,0,0,0,56149,56149,0
2020-09-30T00:00:00.000,Travis,TX,Passenger,2,1,3,165,168,1.785714285714285714285714286
2020-09-30T00:00:00.000,Whitman,WA,Passenger,47,47,94,22003,22097,0.4253971127302348735122414807
2020-10-31T00:00:00.000,Asotin,WA,Passenger,17,14,31,12404,12435,0.2492963409730599115400080418
2020-11-30T00:00:00.000,Prince William,VA,Passenger,2,2,4,222,226,1.769911504424778761061946903
2020-11-30T00:00:00.000,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0
